codice_istat,comune,popolazione_2024,unita_locali_2023,addetti_2023,presenze_turistiche_2024
017131,Paisco Loveno,166,3,4.0,746
017132,Paitone,2209,204,985.1,
017133,Palazzolo sull'Oglio,20403,1886,7391.3,13337
017134,Paratico,5019,515,2054.4,34126
017135,Paspardo,579,22,35.1,47
017136,Passirano,6833,689,3255.9,7319
017137,Pavone del Mella,2732,200,1256.4,
017138,San Paolo,4444,313,1038.2,
017139,Pertica Alta,558,27,36.4,967
017140,Pertica Bassa,553,23,32.0,617
017141,Pezzaze,1419,79,178.1,430
017142,Pian Camuno,4789,462,2401.0,1352
017143,Pisogne,7872,740,3045.8,54905
017144,Polaveno,2505,172,826.3,
017145,Polpenazze del Garda,2722,251,1173.8,25091
017146,Pompiano,3745,185,677.3,
017147,Poncarale,5200,445,1384.4,
017148,Ponte di Legno,1733,310,1137.2,377338
017149,Pontevico,7031,496,2580.6,18180
017150,Pontoglio,6967,487,1740.6,
017151,Pozzolengo,3598,299,1052.1,94935
017152,Pralboino,2827,208,961.4,
017153,Preseglie,1465,142,502.8,
017155,Prevalle,6941,531,2437.5,132
017156,Provaglio d'Iseo,7090,641,3005.5,9192
017157,Provaglio Val Sabbia,855,38,56.8,832
017158,Puegnago del Garda,3469,388,1180.3,39399
017159,Quinzano d'Oglio,6305,507,1724.0,
017160,Remedello,3437,216,1254.7,
017161,Rezzato,13540,1269,6023.8,36846
017162,Roccafranca,4933,328,985.5,
017163,Rodengo Saiano,9897,1032,5450.5,19221
017164,Roè Volciano,4318,435,1694.9,19449
017165,Roncadelle,9305,983,5571.3,1484
017166,Rovato,19649,1881,7898.6,10375
017167,Rudiano,5930,448,1533.4,
017168,Sabbio Chiese,4091,316,1149.8,625
017169,Sale Marasino,3228,291,990.1,21133
017170,Salò,10326,1487,4307.2,263009
017171,San Felice del Benaco,3433,375,1344.7,820700
017172,San Gervasio Bresciano,2665,137,565.0,
017173,San Zeno Naviglio,4721,552,2924.4,
017174,Sarezzo,13219,1061,5103.8,
017175,Saviore dell'Adamello,781,47,78.3,1646
017176,Sellero,1367,102,691.8,157
017177,Seniga,1438,92,444.2,
017178,Serle,3083,175,336.1,
017179,Sirmione,8368,1084,3915.3,1406590
017180,Soiano del Lago,1941,243,591.7,53726
017181,Sonico,1193,141,621.7,8905
017182,Sulzano,1961,174,301.1,30138
017183,Tavernole sul Mella,1214,128,374.2,953
017184,Temù,1148,162,409.8,69361
017185,Tignale,1145,174,405.8,419716
017186,Torbole Casaglia,6429,470,2834.4,
017187,Toscolano-Maderno,7651,675,1756.4,626780
017188,Travagliato,13944,1333,6143.7,4927
017189,Tremosine sul Garda,2094,225,511.0,356856
017190,Trenzano,5526,440,1190.6,760
017191,Treviso Bresciano,532,31,56.0,1305
017192,Urago d'Oglio,3789,243,586.4,
017193,Vallio Terme,1435,123,259.9,1229
017194,Valvestino,167,16,19.6,51
017195,Verolanuova,8118,674,3921.3,2568
017196,Verolavecchia,3866,262,839.4,
017197,Vestone,4147,390,2543.0,
017198,Vezza d'Oglio,1469,155,421.9,23757
017199,Villa Carcina,10728,766,3374.9,
017200,Villachiara,1355,62,171.6,
017201,Villanuova sul Clisi,5889,608,1859.2,11621
017202,Vione,619,59,101.2,6125
017203,Visano,1990,176,1322.1,
017204,Vobarno,8489,584,3269.3,7606
017205,Zone,1032,72,219.1,17032
017206,Piancogno,4783,386,1274.7,11315
