anno,gruppo,classe_eta,titolo,valore
2021,stranieri,65 anni e più,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,1934
2021,stranieri,65 anni e più,licenza di scuola elementare,1110
2021,stranieri,65 anni e più,licenza di scuola media inferiore o di avviamento professionale,1922
2021,stranieri,65 anni e più,nessun titolo di studio,1049
2021,stranieri,65 anni e più,titolo universitario o accademico,841
2021,stranieri,65 anni e più,totale,6856
2021,stranieri,9 anni e più,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,43787
2021,stranieri,9 anni e più,licenza di scuola elementare,14562
2021,stranieri,9 anni e più,licenza di scuola media inferiore o di avviamento professionale,47795
2021,stranieri,9 anni e più,nessun titolo di studio,12272
2021,stranieri,9 anni e più,titolo universitario o accademico,14576
2021,stranieri,9 anni e più,totale,132992
2021,stranieri,9-24 anni,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,5516
2021,stranieri,9-24 anni,licenza di scuola elementare,6793
2021,stranieri,9-24 anni,licenza di scuola media inferiore o di avviamento professionale,10189
2021,stranieri,9-24 anni,nessun titolo di studio,4940
2021,stranieri,9-24 anni,titolo universitario o accademico,399
2021,stranieri,9-24 anni,totale,27837
2022,italiani acquisiti,25-49 anni,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,11594
2022,italiani acquisiti,25-49 anni,licenza di scuola elementare,849
2022,italiani acquisiti,25-49 anni,licenza di scuola media inferiore o di avviamento professionale,9520
2022,italiani acquisiti,25-49 anni,nessun titolo di studio,407
2022,italiani acquisiti,25-49 anni,titolo universitario o accademico,4070
2022,italiani acquisiti,25-49 anni,totale,26440
2022,italiani acquisiti,50-64 anni,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,5648
2022,italiani acquisiti,50-64 anni,licenza di scuola elementare,1530
2022,italiani acquisiti,50-64 anni,licenza di scuola media inferiore o di avviamento professionale,5661
2022,italiani acquisiti,50-64 anni,nessun titolo di studio,536
2022,italiani acquisiti,50-64 anni,titolo universitario o accademico,1920
2022,italiani acquisiti,50-64 anni,totale,15295
2022,italiani acquisiti,65 anni e più,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,1210
2022,italiani acquisiti,65 anni e più,licenza di scuola elementare,665
2022,italiani acquisiti,65 anni e più,licenza di scuola media inferiore o di avviamento professionale,1123
2022,italiani acquisiti,65 anni e più,nessun titolo di studio,159
2022,italiani acquisiti,65 anni e più,titolo universitario o accademico,480
2022,italiani acquisiti,65 anni e più,totale,3637
2022,italiani acquisiti,9 anni e più,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,24002
2022,italiani acquisiti,9 anni e più,licenza di scuola elementare,8514
2022,italiani acquisiti,9 anni e più,licenza di scuola media inferiore o di avviamento professionale,24938
2022,italiani acquisiti,9 anni e più,nessun titolo di studio,3913
2022,italiani acquisiti,9 anni e più,titolo universitario o accademico,6913
2022,italiani acquisiti,9 anni e più,totale,68280
2022,italiani acquisiti,9-24 anni,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,5550
2022,italiani acquisiti,9-24 anni,licenza di scuola elementare,5470
2022,italiani acquisiti,9-24 anni,licenza di scuola media inferiore o di avviamento professionale,8634
2022,italiani acquisiti,9-24 anni,nessun titolo di studio,2811
2022,italiani acquisiti,9-24 anni,titolo universitario o accademico,443
2022,italiani acquisiti,9-24 anni,totale,22908
2022,italiani dalla nascita,25-49 anni,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,144896
2022,italiani dalla nascita,25-49 anni,licenza di scuola elementare,1609
2022,italiani dalla nascita,25-49 anni,licenza di scuola media inferiore o di avviamento professionale,63880
2022,italiani dalla nascita,25-49 anni,nessun titolo di studio,694
2022,italiani dalla nascita,25-49 anni,titolo universitario o accademico,77669
2022,italiani dalla nascita,25-49 anni,totale,288748
2022,italiani dalla nascita,50-64 anni,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,98639
2022,italiani dalla nascita,50-64 anni,licenza di scuola elementare,10574
2022,italiani dalla nascita,50-64 anni,licenza di scuola media inferiore o di avviamento professionale,112266
2022,italiani dalla nascita,50-64 anni,nessun titolo di studio,952
2022,italiani dalla nascita,50-64 anni,titolo universitario o accademico,28741
2022,italiani dalla nascita,50-64 anni,totale,251172
2022,italiani dalla nascita,65 anni e più,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,56939
2022,italiani dalla nascita,65 anni e più,licenza di scuola elementare,117494
2022,italiani dalla nascita,65 anni e più,licenza di scuola media inferiore o di avviamento professionale,75478
2022,italiani dalla nascita,65 anni e più,nessun titolo di studio,5195
2022,italiani dalla nascita,65 anni e più,titolo universitario o accademico,16196
2022,italiani dalla nascita,65 anni e più,totale,271302
2022,italiani dalla nascita,9 anni e più,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,349139
2022,italiani dalla nascita,9 anni e più,licenza di scuola elementare,158178
2022,italiani dalla nascita,9 anni e più,licenza di scuola media inferiore o di avviamento professionale,305477
2022,italiani dalla nascita,9 anni e più,nessun titolo di studio,23760
2022,italiani dalla nascita,9 anni e più,titolo universitario o accademico,129908
2022,italiani dalla nascita,9 anni e più,totale,966462
2022,italiani dalla nascita,9-24 anni,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,48665
2022,italiani dalla nascita,9-24 anni,licenza di scuola elementare,28501
2022,italiani dalla nascita,9-24 anni,licenza di scuola media inferiore o di avviamento professionale,53853
2022,italiani dalla nascita,9-24 anni,nessun titolo di studio,16919
2022,italiani dalla nascita,9-24 anni,titolo universitario o accademico,7302
2022,italiani dalla nascita,9-24 anni,totale,155240
2022,stranieri,25-49 anni,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,27844
2022,stranieri,25-49 anni,licenza di scuola elementare,4109
2022,stranieri,25-49 anni,licenza di scuola media inferiore o di avviamento professionale,26009
2022,stranieri,25-49 anni,nessun titolo di studio,4062
2022,stranieri,25-49 anni,titolo universitario o accademico,11328
2022,stranieri,25-49 anni,totale,73352
2022,stranieri,50-64 anni,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,9622
2022,stranieri,50-64 anni,licenza di scuola elementare,2048
2022,stranieri,50-64 anni,licenza di scuola media inferiore o di avviamento professionale,7271
2022,stranieri,50-64 anni,nessun titolo di studio,1937
2022,stranieri,50-64 anni,titolo universitario o accademico,3076
2022,stranieri,50-64 anni,totale,23954
2022,stranieri,65 anni e più,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,2291
2022,stranieri,65 anni e più,licenza di scuola elementare,1201
2022,stranieri,65 anni e più,licenza di scuola media inferiore o di avviamento professionale,1959
2022,stranieri,65 anni e più,nessun titolo di studio,1336
2022,stranieri,65 anni e più,titolo universitario o accademico,1042
2022,stranieri,65 anni e più,totale,7829
2022,stranieri,9 anni e più,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,44868
2022,stranieri,9 anni e più,licenza di scuola elementare,13930
2022,stranieri,9 anni e più,licenza di scuola media inferiore o di avviamento professionale,45365
2022,stranieri,9 anni e più,nessun titolo di studio,11947
2022,stranieri,9 anni e più,titolo universitario o accademico,15848
2022,stranieri,9 anni e più,totale,131958
2022,stranieri,9-24 anni,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,5111
2022,stranieri,9-24 anni,licenza di scuola elementare,6572
2022,stranieri,9-24 anni,licenza di scuola media inferiore o di avviamento professionale,10126
2022,stranieri,9-24 anni,nessun titolo di studio,4612
2022,stranieri,9-24 anni,titolo universitario o accademico,402
2022,stranieri,9-24 anni,totale,26823
2023,italiani acquisiti,25-49 anni,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,11792
2023,italiani acquisiti,25-49 anni,licenza di scuola elementare,1205
2023,italiani acquisiti,25-49 anni,licenza di scuola media inferiore o di avviamento professionale,9500
2023,italiani acquisiti,25-49 anni,nessun titolo di studio,1110
2023,italiani acquisiti,25-49 anni,titolo universitario o accademico,4454
2023,italiani acquisiti,25-49 anni,totale,28061
2023,italiani acquisiti,50-64 anni,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,5853
2023,italiani acquisiti,50-64 anni,licenza di scuola elementare,1321
2023,italiani acquisiti,50-64 anni,licenza di scuola media inferiore o di avviamento professionale,5751
2023,italiani acquisiti,50-64 anni,nessun titolo di studio,1345
2023,italiani acquisiti,50-64 anni,titolo universitario o accademico,2175
2023,italiani acquisiti,50-64 anni,totale,16445
2023,italiani acquisiti,65 anni e più,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,1391
2023,italiani acquisiti,65 anni e più,licenza di scuola elementare,574
2023,italiani acquisiti,65 anni e più,licenza di scuola media inferiore o di avviamento professionale,1240
2023,italiani acquisiti,65 anni e più,nessun titolo di studio,395
2023,italiani acquisiti,65 anni e più,titolo universitario o accademico,593
2023,italiani acquisiti,65 anni e più,totale,4193
2023,italiani acquisiti,9 anni e più,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,24653
2023,italiani acquisiti,9 anni e più,licenza di scuola elementare,8792
2023,italiani acquisiti,9 anni e più,licenza di scuola media inferiore o di avviamento professionale,26139
2023,italiani acquisiti,9 anni e più,nessun titolo di studio,5714
2023,italiani acquisiti,9 anni e più,titolo universitario o accademico,7808
2023,italiani acquisiti,9 anni e più,totale,73106
2023,italiani acquisiti,9-24 anni,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,5617
2023,italiani acquisiti,9-24 anni,licenza di scuola elementare,5692
2023,italiani acquisiti,9-24 anni,licenza di scuola media inferiore o di avviamento professionale,9648
2023,italiani acquisiti,9-24 anni,nessun titolo di studio,2864
2023,italiani acquisiti,9-24 anni,titolo universitario o accademico,586
2023,italiani acquisiti,9-24 anni,totale,24407
2023,italiani dalla nascita,25-49 anni,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,143793
2023,italiani dalla nascita,25-49 anni,licenza di scuola elementare,1326
2023,italiani dalla nascita,25-49 anni,licenza di scuola media inferiore o di avviamento professionale,57653
