codice_istat,comune,anno,tipo_struttura,cittadinanza,arrivi,presenze,permanenza_media,stato
017005,Anfo,2020,Es. Extra-Alberghieri,Totale,,,,riservato
017005,Anfo,2020,Totale,Italiani,1170,3427,2.90,osservato
017005,Anfo,2020,Totale,Stranieri,1163,4247,3.70,osservato
017005,Anfo,2020,Totale,Totale,2333,7674,3.30,osservato
017005,Anfo,2021,Es. Alberghieri,Italiani,,,,riservato
017005,Anfo,2021,Es. Alberghieri,Stranieri,,,,riservato
017005,Anfo,2021,Es. Alberghieri,Totale,,,,riservato
017005,Anfo,2021,Es. Extra-Alberghieri,Italiani,,,,riservato
017005,Anfo,2021,Es. Extra-Alberghieri,Stranieri,,,,riservato
017005,Anfo,2021,Es. Extra-Alberghieri,Totale,,,,riservato
017005,Anfo,2021,Totale,Italiani,2922,7741,2.60,osservato
017005,Anfo,2021,Totale,Stranieri,6139,30097,4.90,osservato
017005,Anfo,2021,Totale,Totale,9061,37838,4.20,osservato
017005,Anfo,2022,Es. Alberghieri,Italiani,,,,riservato
017005,Anfo,2022,Es. Alberghieri,Stranieri,,,,riservato
017005,Anfo,2022,Es. Alberghieri,Totale,,,,riservato
017005,Anfo,2022,Es. Extra-Alberghieri,Italiani,,,,riservato
017005,Anfo,2022,Es. Extra-Alberghieri,Stranieri,,,,riservato
017005,Anfo,2022,Es. Extra-Alberghieri,Totale,,,,riservato
017005,Anfo,2022,Totale,Italiani,3507,9068,2.60,osservato
017005,Anfo,2022,Totale,Stranieri,9727,52580,5.40,osservato
017005,Anfo,2022,Totale,Totale,13234,61648,4.70,osservato
017005,Anfo,2023,Es. Alberghieri,Italiani,,,,riservato
017005,Anfo,2023,Es. Alberghieri,Stranieri,,,,riservato
017005,Anfo,2023,Es. Alberghieri,Totale,,,,riservato
017005,Anfo,2023,Es. Extra-Alberghieri,Italiani,,,,riservato
017005,Anfo,2023,Es. Extra-Alberghieri,Stranieri,,,,riservato
017005,Anfo,2023,Es. Extra-Alberghieri,Totale,,,,riservato
017005,Anfo,2023,Totale,Italiani,3816,9696,2.50,osservato
017005,Anfo,2023,Totale,Stranieri,10133,53004,5.20,osservato
017005,Anfo,2023,Totale,Totale,13949,62700,4.50,osservato
017005,Anfo,2024,Es. Alberghieri,Italiani,,,,riservato
017005,Anfo,2024,Es. Alberghieri,Stranieri,,,,riservato
017005,Anfo,2024,Es. Alberghieri,Totale,,,,riservato
017005,Anfo,2024,Es. Extra-Alberghieri,Italiani,,,,riservato
017005,Anfo,2024,Es. Extra-Alberghieri,Stranieri,,,,riservato
017005,Anfo,2024,Es. Extra-Alberghieri,Totale,,,,riservato
017005,Anfo,2024,Totale,Italiani,3316,9155,2.76,osservato
017005,Anfo,2024,Totale,Stranieri,11389,61632,5.41,osservato
017005,Anfo,2024,Totale,Totale,14705,70787,4.81,osservato
017006,Angolo Terme,2019,Es. Alberghieri,Italiani,172,730,4.20,osservato
017006,Angolo Terme,2019,Es. Alberghieri,Totale,172,730,4.20,osservato
017006,Angolo Terme,2019,Es. Extra-Alberghieri,Italiani,1307,4461,3.40,osservato
017006,Angolo Terme,2019,Es. Extra-Alberghieri,Stranieri,167,647,3.90,osservato
017006,Angolo Terme,2019,Es. Extra-Alberghieri,Totale,1474,5108,3.50,osservato
017006,Angolo Terme,2019,Totale,Italiani,1479,5191,3.50,osservato
017006,Angolo Terme,2019,Totale,Stranieri,167,647,3.90,osservato
017006,Angolo Terme,2019,Totale,Totale,1646,5838,3.50,osservato
017006,Angolo Terme,2020,Es. Alberghieri,Italiani,18,272,15.10,osservato
017006,Angolo Terme,2020,Es. Alberghieri,Totale,18,272,15.10,osservato
017006,Angolo Terme,2020,Es. Extra-Alberghieri,Italiani,837,3179,3.80,osservato
017006,Angolo Terme,2020,Es. Extra-Alberghieri,Stranieri,56,125,2.20,osservato
017006,Angolo Terme,2020,Es. Extra-Alberghieri,Totale,893,3304,3.70,osservato
017006,Angolo Terme,2020,Totale,Italiani,855,3451,4.00,osservato
017006,Angolo Terme,2020,Totale,Stranieri,56,125,2.20,osservato
017006,Angolo Terme,2020,Totale,Totale,911,3576,3.90,osservato
017006,Angolo Terme,2021,Es. Alberghieri,Italiani,,,,riservato
017006,Angolo Terme,2021,Es. Alberghieri,Stranieri,,,,riservato
017006,Angolo Terme,2021,Es. Alberghieri,Totale,,,,riservato
017006,Angolo Terme,2021,Es. Extra-Alberghieri,Italiani,,,,riservato
017006,Angolo Terme,2021,Es. Extra-Alberghieri,Stranieri,,,,riservato
017006,Angolo Terme,2021,Es. Extra-Alberghieri,Totale,,,,riservato
017006,Angolo Terme,2021,Totale,Italiani,1347,4093,3.00,osservato
017006,Angolo Terme,2021,Totale,Stranieri,176,605,3.40,osservato
017006,Angolo Terme,2021,Totale,Totale,1523,4698,3.10,osservato
017006,Angolo Terme,2022,Es. Alberghieri,Italiani,,,,riservato
017006,Angolo Terme,2022,Es. Alberghieri,Stranieri,,,,riservato
017006,Angolo Terme,2022,Es. Alberghieri,Totale,,,,riservato
017006,Angolo Terme,2022,Es. Extra-Alberghieri,Italiani,,,,riservato
017006,Angolo Terme,2022,Es. Extra-Alberghieri,Stranieri,,,,riservato
017006,Angolo Terme,2022,Es. Extra-Alberghieri,Totale,,,,riservato
017006,Angolo Terme,2022,Totale,Italiani,1747,4673,2.70,osservato
017006,Angolo Terme,2022,Totale,Stranieri,144,783,5.40,osservato
017006,Angolo Terme,2022,Totale,Totale,1891,5456,2.90,osservato
017006,Angolo Terme,2023,Es. Alberghieri,Italiani,,,,riservato
017006,Angolo Terme,2023,Es. Alberghieri,Stranieri,,,,riservato
017006,Angolo Terme,2023,Es. Alberghieri,Totale,,,,riservato
017006,Angolo Terme,2023,Es. Extra-Alberghieri,Italiani,,,,riservato
017006,Angolo Terme,2023,Es. Extra-Alberghieri,Stranieri,,,,riservato
017006,Angolo Terme,2023,Es. Extra-Alberghieri,Totale,,,,riservato
017006,Angolo Terme,2023,Totale,Italiani,1444,4401,3.00,osservato
017006,Angolo Terme,2023,Totale,Stranieri,208,1031,5.00,osservato
017006,Angolo Terme,2023,Totale,Totale,1652,5432,3.30,osservato
017006,Angolo Terme,2024,Es. Alberghieri,Italiani,,,,riservato
017006,Angolo Terme,2024,Es. Alberghieri,Stranieri,,,,riservato
017006,Angolo Terme,2024,Es. Alberghieri,Totale,,,,riservato
017006,Angolo Terme,2024,Es. Extra-Alberghieri,Italiani,,,,riservato
017006,Angolo Terme,2024,Es. Extra-Alberghieri,Stranieri,,,,riservato
017006,Angolo Terme,2024,Es. Extra-Alberghieri,Totale,,,,riservato
017006,Angolo Terme,2024,Totale,Italiani,1850,5308,2.87,osservato
017006,Angolo Terme,2024,Totale,Stranieri,526,1634,3.11,osservato
017006,Angolo Terme,2024,Totale,Totale,2376,6942,2.92,osservato
017007,Artogne,2019,Es. Alberghieri,Italiani,,,,riservato
017007,Artogne,2019,Es. Alberghieri,Stranieri,,,,riservato
017007,Artogne,2019,Es. Alberghieri,Totale,,,,riservato
017007,Artogne,2019,Es. Extra-Alberghieri,Italiani,,,,riservato
017007,Artogne,2019,Es. Extra-Alberghieri,Stranieri,,,,riservato
017007,Artogne,2019,Es. Extra-Alberghieri,Totale,,,,riservato
017007,Artogne,2019,Totale,Italiani,913,2163,2.40,osservato
017007,Artogne,2019,Totale,Stranieri,134,386,2.90,osservato
017007,Artogne,2019,Totale,Totale,1047,2549,2.40,osservato
017007,Artogne,2020,Es. Alberghieri,Italiani,,,,riservato
017007,Artogne,2020,Es. Alberghieri,Stranieri,,,,riservato
017007,Artogne,2020,Es. Alberghieri,Totale,,,,riservato
017007,Artogne,2020,Es. Extra-Alberghieri,Italiani,,,,riservato
017007,Artogne,2020,Es. Extra-Alberghieri,Stranieri,,,,riservato
017007,Artogne,2020,Es. Extra-Alberghieri,Totale,,,,riservato
017007,Artogne,2020,Totale,Italiani,678,1794,2.60,osservato
017007,Artogne,2020,Totale,Stranieri,30,61,2.00,osservato
017007,Artogne,2020,Totale,Totale,708,1855,2.60,osservato
017007,Artogne,2021,Es. Alberghieri,Italiani,,,,riservato
017007,Artogne,2021,Es. Alberghieri,Stranieri,,,,riservato
017007,Artogne,2021,Es. Alberghieri,Totale,,,,riservato
017007,Artogne,2021,Es. Extra-Alberghieri,Italiani,,,,riservato
017007,Artogne,2021,Es. Extra-Alberghieri,Stranieri,,,,riservato
017007,Artogne,2021,Es. Extra-Alberghieri,Totale,,,,riservato
017007,Artogne,2021,Totale,Italiani,776,1855,2.40,osservato
017007,Artogne,2021,Totale,Stranieri,90,238,2.60,osservato
017007,Artogne,2021,Totale,Totale,866,2093,2.40,osservato
017007,Artogne,2022,Es. Alberghieri,Italiani,,,,riservato
017007,Artogne,2022,Es. Alberghieri,Stranieri,,,,riservato
017007,Artogne,2022,Es. Alberghieri,Totale,,,,riservato
017007,Artogne,2022,Es. Extra-Alberghieri,Italiani,,,,riservato
017007,Artogne,2022,Es. Extra-Alberghieri,Stranieri,,,,riservato
017007,Artogne,2022,Es. Extra-Alberghieri,Totale,,,,riservato
017007,Artogne,2022,Totale,Italiani,867,2206,2.50,osservato
017007,Artogne,2022,Totale,Stranieri,142,404,2.80,osservato
017007,Artogne,2022,Totale,Totale,1009,2610,2.60,osservato
017007,Artogne,2023,Es. Alberghieri,Italiani,,,,riservato
017007,Artogne,2023,Es. Alberghieri,Stranieri,,,,riservato
017007,Artogne,2023,Es. Alberghieri,Totale,,,,riservato
017007,Artogne,2023,Es. Extra-Alberghieri,Italiani,,,,riservato
017007,Artogne,2023,Es. Extra-Alberghieri,Stranieri,,,,riservato
017007,Artogne,2023,Es. Extra-Alberghieri,Totale,,,,riservato
017007,Artogne,2023,Totale,Italiani,756,2004,2.70,osservato
017007,Artogne,2023,Totale,Stranieri,124,318,2.60,osservato
017007,Artogne,2023,Totale,Totale,880,2322,2.60,osservato
017007,Artogne,2024,Es. Alberghieri,Italiani,,,,riservato
017007,Artogne,2024,Es. Alberghieri,Stranieri,,,,riservato
017007,Artogne,2024,Es. Alberghieri,Totale,,,,riservato
017007,Artogne,2024,Es. Extra-Alberghieri,Italiani,,,,riservato
017007,Artogne,2024,Es. Extra-Alberghieri,Stranieri,,,,riservato
017007,Artogne,2024,Es. Extra-Alberghieri,Totale,,,,riservato
017007,Artogne,2024,Totale,Italiani,1141,2725,2.39,osservato
017007,Artogne,2024,Totale,Stranieri,220,592,2.69,osservato
017007,Artogne,2024,Totale,Totale,1361,3317,2.44,osservato
017008,Azzano Mella,2019,Es. Alberghieri,Italiani,,,,riservato
017008,Azzano Mella,2019,Es. Alberghieri,Stranieri,,,,riservato
017008,Azzano Mella,2019,Es. Alberghieri,Totale,,,,riservato
017008,Azzano Mella,2019,Es. Extra-Alberghieri,Italiani,,,,riservato
