codice_provincia,provincia,regione,ambito,anno,trimestre,comparto,segmento,ntn,stato
001,Torino,Piemonte,capoluogo,2016,2,pertinenze,box,1301.65,definitivo
001,Torino,Piemonte,capoluogo,2016,2,pertinenze,depositi_pertinenziali,166.94,definitivo
001,Torino,Piemonte,capoluogo,2016,2,residenziale,totale,3403.26,definitivo
001,Torino,Piemonte,capoluogo,2016,3,pertinenze,box,887.49,definitivo
001,Torino,Piemonte,capoluogo,2016,3,pertinenze,depositi_pertinenziali,107.68,definitivo
001,Torino,Piemonte,capoluogo,2016,3,residenziale,totale,2728.12,definitivo
001,Torino,Piemonte,capoluogo,2016,4,pertinenze,box,1533.44,definitivo
001,Torino,Piemonte,capoluogo,2016,4,pertinenze,depositi_pertinenziali,205.16,definitivo
001,Torino,Piemonte,capoluogo,2016,4,residenziale,totale,3352.19,definitivo
001,Torino,Piemonte,capoluogo,2017,1,pertinenze,box,1128.90,definitivo
001,Torino,Piemonte,capoluogo,2017,1,pertinenze,depositi_pertinenziali,153.97,definitivo
001,Torino,Piemonte,capoluogo,2017,1,residenziale,totale,2979.65,definitivo
001,Torino,Piemonte,capoluogo,2017,2,pertinenze,box,1394.30,definitivo
001,Torino,Piemonte,capoluogo,2017,2,pertinenze,depositi_pertinenziali,184.51,definitivo
001,Torino,Piemonte,capoluogo,2017,2,residenziale,totale,3596.77,definitivo
001,Torino,Piemonte,capoluogo,2017,3,pertinenze,box,985.25,definitivo
001,Torino,Piemonte,capoluogo,2017,3,pertinenze,depositi_pertinenziali,144.86,definitivo
001,Torino,Piemonte,capoluogo,2017,3,residenziale,totale,2759.57,definitivo
001,Torino,Piemonte,capoluogo,2017,4,pertinenze,box,1376.23,definitivo
001,Torino,Piemonte,capoluogo,2017,4,pertinenze,depositi_pertinenziali,232.74,definitivo
001,Torino,Piemonte,capoluogo,2017,4,residenziale,totale,3619.57,definitivo
001,Torino,Piemonte,capoluogo,2018,1,pertinenze,box,1086.23,definitivo
001,Torino,Piemonte,capoluogo,2018,1,pertinenze,depositi_pertinenziali,178.77,definitivo
001,Torino,Piemonte,capoluogo,2018,1,residenziale,totale,3094.53,definitivo
001,Torino,Piemonte,capoluogo,2018,2,pertinenze,box,1329.61,definitivo
