territorio,anno,indicatore,sesso,eta,titolo_studio,cittadinanza,valore
ITC47,2019,employment rate,total,55-64 years,total,total,55.86
ITC47,2020,employment rate,females,15-24 years,total,total,17.21
ITC47,2020,employment rate,females,15-29 years,total,total,34.31
ITC47,2020,employment rate,females,15-34 years,total,total,44.85
ITC47,2020,employment rate,females,15-64 years,total,total,53.07
ITC47,2020,employment rate,females,15-74 years,total,total,46.12
ITC47,2020,employment rate,females,15-89 years,total,total,40.09
ITC47,2020,employment rate,females,18-29 years,total,total,41.64
ITC47,2020,employment rate,females,20-64 years,total,total,57.26
ITC47,2020,employment rate,females,25-34 years,total,total,64.07
ITC47,2020,employment rate,females,35-44 years,total,total,65.01
ITC47,2020,employment rate,females,35-49 years,total,total,65.44
ITC47,2020,employment rate,females,45-54 years,total,total,69.36
ITC47,2020,employment rate,females,50-64 years,total,total,50.04
ITC47,2020,employment rate,females,50-74 years,total,total,35.48
ITC47,2020,employment rate,females,50-89 years,total,total,26.56
ITC47,2020,employment rate,females,55-64 years,total,total,36.55
ITC47,2020,employment rate,males,15-24 years,total,total,32.82
ITC47,2020,employment rate,males,15-29 years,total,total,47.39
ITC47,2020,employment rate,males,15-34 years,total,total,60.38
ITC47,2020,employment rate,males,15-64 years,total,total,76.75
ITC47,2020,employment rate,males,15-74 years,total,total,67.55
ITC47,2020,employment rate,males,15-89 years,total,total,60.91
ITC47,2020,employment rate,males,18-29 years,total,total,60.70
ITC47,2020,employment rate,males,20-64 years,total,total,83.34
ITC47,2020,employment rate,males,25-34 years,total,total,89.06
ITC47,2020,employment rate,males,35-44 years,total,total,93.82
ITC47,2020,employment rate,males,35-49 years,total,total,92.60
ITC47,2020,employment rate,males,45-54 years,total,total,91.92
ITC47,2020,employment rate,males,50-64 years,total,total,77.63
ITC47,2020,employment rate,males,50-74 years,total,total,56.00
ITC47,2020,employment rate,males,50-89 years,total,total,44.73
ITC47,2020,employment rate,males,55-64 years,total,total,66.05
ITC47,2020,employment rate,total,15-24 years,total,total,25.90
ITC47,2020,employment rate,total,15-29 years,total,total,41.05
ITC47,2020,employment rate,total,15-34 years,total,total,52.65
ITC47,2020,employment rate,total,15-64 years,total,total,65.08
ITC47,2020,employment rate,total,15-74 years,total,total,56.91
ITC47,2020,employment rate,total,15-89 years,total,total,50.38
ITC47,2020,employment rate,total,18-29 years,total,total,51.20
ITC47,2020,employment rate,total,20-64 years,total,total,70.45
ITC47,2020,employment rate,total,25-34 years,total,total,75.48
ITC47,2020,employment rate,total,35-44 years,total,total,79.98
ITC47,2020,employment rate,total,35-49 years,total,total,79.51
ITC47,2020,employment rate,total,45-54 years,total,total,81.21
ITC47,2020,employment rate,total,50-64 years,total,total,63.89
ITC47,2020,employment rate,total,50-74 years,total,total,45.64
ITC47,2020,employment rate,total,50-89 years,total,total,35.25
ITC47,2020,employment rate,total,55-64 years,total,total,50.71
ITC47,2021,employment rate,females,15-24 years,total,total,15.22
ITC47,2021,employment rate,females,15-29 years,total,total,30.47
ITC47,2021,employment rate,females,15-34 years,total,total,43.89
ITC47,2021,employment rate,females,15-64 years,total,total,54.23
ITC47,2021,employment rate,females,15-74 years,total,total,47.17
ITC47,2021,employment rate,females,15-89 years,total,total,40.76
ITC47,2021,employment rate,females,18-29 years,total,total,38.93
ITC47,2021,employment rate,females,20-64 years,total,total,59.54
ITC47,2021,employment rate,females,25-34 years,total,total,67.68
ITC47,2021,employment rate,females,35-44 years,total,total,69.25
ITC47,2021,employment rate,females,35-49 years,total,total,70.06
ITC47,2021,employment rate,females,45-54 years,total,total,69.44
ITC47,2021,employment rate,females,50-64 years,total,total,51.18
ITC47,2021,employment rate,females,50-74 years,total,total,36.61
ITC47,2021,employment rate,females,50-89 years,total,total,27.17
ITC47,2021,employment rate,females,55-64 years,total,total,41.18
ITC47,2021,employment rate,males,15-24 years,total,total,25.53
ITC47,2021,employment rate,males,15-29 years,total,total,47.08
ITC47,2021,employment rate,males,15-34 years,total,total,57.94
ITC47,2021,employment rate,males,15-64 years,total,total,76.85
ITC47,2021,employment rate,males,15-74 years,total,total,67.84
ITC47,2021,employment rate,males,15-89 years,total,total,61.80
ITC47,2021,employment rate,males,18-29 years,total,total,57.55
ITC47,2021,employment rate,males,20-64 years,total,total,83.63
ITC47,2021,employment rate,males,25-34 years,total,total,88.19
