codice_istat,comune,anno,classe_addetti,indicatore,valore
017003,Agnosine,2018,0-9,unita_locali,154
017003,Agnosine,2018,10-49,unita_locali,13
017003,Agnosine,2018,50-249,unita_locali,1
017003,Agnosine,2018,totale,unita_locali,168
017003,Agnosine,2019,0-9,unita_locali,139
017003,Agnosine,2019,10-49,unita_locali,11
017003,Agnosine,2019,50-249,unita_locali,2
017003,Agnosine,2019,totale,unita_locali,152
017003,Agnosine,2020,0-9,unita_locali,153
017003,Agnosine,2020,10-49,unita_locali,10
017003,Agnosine,2020,50-249,unita_locali,2
017003,Agnosine,2020,totale,unita_locali,165
017003,Agnosine,2021,0-9,unita_locali,154
017003,Agnosine,2021,10-49,unita_locali,11
017003,Agnosine,2021,50-249,unita_locali,2
017003,Agnosine,2021,totale,unita_locali,167
017003,Agnosine,2022,0-9,unita_locali,147
017003,Agnosine,2022,10-49,unita_locali,15
017003,Agnosine,2022,50-249,unita_locali,1
017003,Agnosine,2022,totale,unita_locali,163
017003,Agnosine,2023,0-9,unita_locali,149
017003,Agnosine,2023,10-49,unita_locali,17
017003,Agnosine,2023,50-249,unita_locali,2
017003,Agnosine,2023,totale,unita_locali,168
017004,Alfianello,2018,0-9,addetti,312.5
017004,Alfianello,2018,10-49,addetti,189.0
017004,Alfianello,2018,50-249,addetti,155.9
017004,Alfianello,2018,totale,addetti,657.4
017004,Alfianello,2019,0-9,addetti,316.2
017004,Alfianello,2019,10-49,addetti,218.6
017004,Alfianello,2019,50-249,addetti,156.0
017004,Alfianello,2019,totale,addetti,690.9
017004,Alfianello,2020,0-9,addetti,337.4
017004,Alfianello,2020,10-49,addetti,264.2
017004,Alfianello,2020,50-249,addetti,85.0
017004,Alfianello,2020,totale,addetti,686.6
017004,Alfianello,2021,0-9,addetti,329.0
017004,Alfianello,2021,10-49,addetti,300.8
017004,Alfianello,2021,50-249,addetti,81.2
017004,Alfianello,2021,totale,addetti,711.0
017004,Alfianello,2022,0-9,addetti,338.9
017004,Alfianello,2022,10-49,addetti,255.9
017004,Alfianello,2022,50-249,addetti,137.9
017004,Alfianello,2022,totale,addetti,732.8
017004,Alfianello,2023,0-9,addetti,321.8
017004,Alfianello,2023,10-49,addetti,276.9
017004,Alfianello,2023,50-249,addetti,140.0
017004,Alfianello,2023,totale,addetti,738.7
017004,Alfianello,2018,0-9,unita_locali,146
017004,Alfianello,2018,10-49,unita_locali,12
017004,Alfianello,2018,50-249,unita_locali,2
017004,Alfianello,2018,totale,unita_locali,160
017004,Alfianello,2019,0-9,unita_locali,147
017004,Alfianello,2019,10-49,unita_locali,12
017004,Alfianello,2019,50-249,unita_locali,2
017004,Alfianello,2019,totale,unita_locali,161
017004,Alfianello,2020,0-9,unita_locali,154
017004,Alfianello,2020,10-49,unita_locali,12
017004,Alfianello,2020,50-249,unita_locali,1
017004,Alfianello,2020,totale,unita_locali,167
017004,Alfianello,2021,0-9,unita_locali,153
017004,Alfianello,2021,10-49,unita_locali,14
017004,Alfianello,2021,50-249,unita_locali,1
