codice_istat,comune,area_kmq,centroide_lon,centroide_lat
017136,Passirano,13.319,10.06154,45.59869
017137,Pavone del Mella,11.725,10.21892,45.30272
017138,San Paolo,18.520,10.02845,45.37433
017139,Pertica Alta,21.125,10.34174,45.74196
017140,Pertica Bassa,30.272,10.37755,45.76032
017141,Pezzaze,21.685,10.22384,45.78054
017142,Pian Camuno,10.693,10.16199,45.83026
017143,Pisogne,49.246,10.13770,45.79685
017144,Polaveno,9.129,10.13620,45.66336
017145,Polpenazze del Garda,9.003,10.50043,45.54619
017146,Pompiano,15.254,9.99392,45.41979
017147,Poncarale,12.798,10.18292,45.45816
017148,Ponte di Legno,100.099,10.52419,46.27858
017149,Pontevico,29.109,10.10192,45.28023
017150,Pontoglio,11.072,9.85643,45.56221
017151,Pozzolengo,20.998,10.62269,45.40992
017152,Pralboino,17.304,10.23250,45.26404
017153,Preseglie,11.709,10.38522,45.66853
017155,Prevalle,9.787,10.42044,45.54438
017156,Provaglio d'Iseo,16.191,10.05361,45.63244
017157,Provaglio Val Sabbia,14.950,10.44441,45.68689
017158,Puegnago del Garda,11.085,10.51041,45.57104
017159,Quinzano d'Oglio,21.064,10.00542,45.31206
017160,Remedello,21.543,10.36922,45.27420
017161,Rezzato,18.426,10.31740,45.50790
017162,Roccafranca,19.353,9.91748,45.45502
017163,Rodengo Saiano,12.797,10.11097,45.59319
017164,Roè Volciano,5.689,10.49663,45.61760
017165,Roncadelle,9.286,10.14309,45.53499
017166,Rovato,26.168,10.01047,45.54535
017167,Rudiano,9.993,9.89334,45.48817
017168,Sabbio Chiese,18.345,10.43180,45.64395
017169,Sale Marasino,16.527,10.12805,45.71088
017170,Salò,27.467,10.54081,45.60804
017171,San Felice del Benaco,20.270,10.58047,45.58651
017172,San Gervasio Bresciano,10.593,10.15283,45.30020
017173,San Zeno Naviglio,6.504,10.21501,45.48663
017174,Sarezzo,17.988,10.20249,45.66488
017175,Saviore dell'Adamello,84.166,10.48647,46.11570
017176,Sellero,14.423,10.32636,46.06539
017177,Seniga,12.933,10.18886,45.24606
017178,Serle,18.254,10.35857,45.57854
017179,Sirmione,26.327,10.61606,45.47848
017180,Soiano del Lago,5.856,10.50656,45.53145
017181,Sonico,60.867,10.40690,46.14205
017182,Sulzano,10.540,10.10916,45.68081
017183,Tavernole sul Mella,19.935,10.21286,45.75069
017184,Temù,43.402,10.48120,46.25299
017185,Tignale,45.696,10.70367,45.74646
017186,Torbole Casaglia,13.554,10.11321,45.50664
017187,Toscolano-Maderno,58.159,10.60857,45.65691
017188,Travagliato,17.527,10.07792,45.52209
017189,Tremosine sul Garda,72.401,10.72572,45.79816
017190,Trenzano,19.962,10.00317,45.47829
017191,Treviso Bresciano,17.970,10.46906,45.71272
017192,Urago d'Oglio,10.580,9.87242,45.51923
017193,Vallio Terme,14.994,10.38819,45.61162
017194,Valvestino,31.287,10.59211,45.76194
017195,Verolanuova,25.966,10.07888,45.33760
017196,Verolavecchia,21.368,10.04807,45.31469
017197,Vestone,13.039,10.40086,45.70951
017198,Vezza d'Oglio,54.123,10.39632,46.26763
017199,Villa Carcina,14.112,10.19123,45.63614
017200,Villachiara,17.318,9.91770,45.35436
017201,Villanuova sul Clisi,9.015,10.46388,45.61054
017202,Vione,35.279,10.44076,46.26100
017203,Visano,11.394,10.36656,45.31251
017204,Vobarno,53.286,10.50124,45.67120
017205,Zone,19.769,10.13162,45.75875
017206,Piancogno,14.240,10.19683,45.93072
