codice_istat,comune,anno,tavola,indicatore,ownership_type,numb_room,use_floor_spacegroup,heating_system_type,access_building,type_of_building,valore
017003,Agnosine,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,rent,total,all items,all items,TOTAL,TOTAL,106
017003,Agnosine,2021,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,709
017003,Agnosine,2023,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,717
017004,Alfianello,2019,occupate_e_non_occupate,conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1105
017004,Alfianello,2019,occupate_e_non_occupate,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,944
017004,Alfianello,2019,occupate_e_non_occupate,unoccupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,161
017004,Alfianello,2021,occupate_e_non_occupate,conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1110
017004,Alfianello,2021,occupate_e_non_occupate,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,930
017004,Alfianello,2021,occupate_e_non_occupate,unoccupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,180
017004,Alfianello,2023,occupate_e_non_occupate,conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1116
017004,Alfianello,2023,occupate_e_non_occupate,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,910
017004,Alfianello,2023,occupate_e_non_occupate,unoccupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,206
017004,Alfianello,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,944
017004,Alfianello,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,"other form of tenure different from ownership, rent",total,all items,all items,TOTAL,TOTAL,65
017004,Alfianello,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,ownership,total,all items,all items,TOTAL,TOTAL,774
017004,Alfianello,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,rent,total,all items,all items,TOTAL,TOTAL,105
017004,Alfianello,2021,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,930
017004,Alfianello,2023,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,910
017005,Anfo,2019,occupate_e_non_occupate,conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,800
017005,Anfo,2019,occupate_e_non_occupate,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,219
017005,Anfo,2019,occupate_e_non_occupate,unoccupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,581
017005,Anfo,2021,occupate_e_non_occupate,conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,797
017005,Anfo,2021,occupate_e_non_occupate,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,223
017005,Anfo,2021,occupate_e_non_occupate,unoccupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,574
017005,Anfo,2023,occupate_e_non_occupate,conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,807
017005,Anfo,2023,occupate_e_non_occupate,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,223
017005,Anfo,2023,occupate_e_non_occupate,unoccupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,584
017005,Anfo,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,219
017005,Anfo,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,"other form of tenure different from ownership, rent",total,all items,all items,TOTAL,TOTAL,18
017005,Anfo,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,ownership,total,all items,all items,TOTAL,TOTAL,180
017005,Anfo,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,rent,total,all items,all items,TOTAL,TOTAL,21
017005,Anfo,2021,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,223
017005,Anfo,2023,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,223
017006,Angolo Terme,2019,occupate_e_non_occupate,conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,2398
017006,Angolo Terme,2019,occupate_e_non_occupate,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1057
017006,Angolo Terme,2019,occupate_e_non_occupate,unoccupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1341
017006,Angolo Terme,2021,occupate_e_non_occupate,conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,2406
017006,Angolo Terme,2021,occupate_e_non_occupate,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1047
017006,Angolo Terme,2021,occupate_e_non_occupate,unoccupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1359
017006,Angolo Terme,2023,occupate_e_non_occupate,conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,2414
017006,Angolo Terme,2023,occupate_e_non_occupate,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1052
017006,Angolo Terme,2023,occupate_e_non_occupate,unoccupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1362
017006,Angolo Terme,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1057
017006,Angolo Terme,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,"other form of tenure different from ownership, rent",total,all items,all items,TOTAL,TOTAL,91
017006,Angolo Terme,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,ownership,total,all items,all items,TOTAL,TOTAL,879
017006,Angolo Terme,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,rent,total,all items,all items,TOTAL,TOTAL,86
017006,Angolo Terme,2021,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1047
017006,Angolo Terme,2023,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1052
017007,Artogne,2019,occupate_e_non_occupate,conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,4055
017007,Artogne,2019,occupate_e_non_occupate,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1495
017007,Artogne,2019,occupate_e_non_occupate,unoccupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,2560
017007,Artogne,2021,occupate_e_non_occupate,conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,4058
017007,Artogne,2021,occupate_e_non_occupate,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1531
017007,Artogne,2021,occupate_e_non_occupate,unoccupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,2527
017007,Artogne,2023,occupate_e_non_occupate,conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,4093
017007,Artogne,2023,occupate_e_non_occupate,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1568
017007,Artogne,2023,occupate_e_non_occupate,unoccupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,2525
017007,Artogne,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1495
017007,Artogne,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,"other form of tenure different from ownership, rent",total,all items,all items,TOTAL,TOTAL,52
017007,Artogne,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,ownership,total,all items,all items,TOTAL,TOTAL,1255
017007,Artogne,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,rent,total,all items,all items,TOTAL,TOTAL,188
017007,Artogne,2021,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1531
017007,Artogne,2023,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1568
017008,Azzano Mella,2019,occupate_e_non_occupate,conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1515
017008,Azzano Mella,2019,occupate_e_non_occupate,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1299
017008,Azzano Mella,2019,occupate_e_non_occupate,unoccupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,216
017008,Azzano Mella,2021,occupate_e_non_occupate,conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1528
017008,Azzano Mella,2021,occupate_e_non_occupate,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1318
017008,Azzano Mella,2021,occupate_e_non_occupate,unoccupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,210
017008,Azzano Mella,2023,occupate_e_non_occupate,conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1560
017008,Azzano Mella,2023,occupate_e_non_occupate,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1378
017008,Azzano Mella,2023,occupate_e_non_occupate,unoccupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,182
017008,Azzano Mella,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1299
017008,Azzano Mella,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,"other form of tenure different from ownership, rent",total,all items,all items,TOTAL,TOTAL,80
017008,Azzano Mella,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,ownership,total,all items,all items,TOTAL,TOTAL,1010
017008,Azzano Mella,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,rent,total,all items,all items,TOTAL,TOTAL,209
017008,Azzano Mella,2021,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1318
017008,Azzano Mella,2023,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,1378
017009,Bagnolo Mella,2019,occupate_e_non_occupate,conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,5810
017009,Bagnolo Mella,2019,occupate_e_non_occupate,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,5069
017009,Bagnolo Mella,2019,occupate_e_non_occupate,unoccupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,741
017009,Bagnolo Mella,2021,occupate_e_non_occupate,conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,5823
017009,Bagnolo Mella,2021,occupate_e_non_occupate,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,5145
017009,Bagnolo Mella,2021,occupate_e_non_occupate,unoccupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,678
017009,Bagnolo Mella,2023,occupate_e_non_occupate,conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,5833
017009,Bagnolo Mella,2023,occupate_e_non_occupate,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,5105
017009,Bagnolo Mella,2023,occupate_e_non_occupate,unoccupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,728
017009,Bagnolo Mella,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,5069
017009,Bagnolo Mella,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,"other form of tenure different from ownership, rent",total,all items,all items,TOTAL,TOTAL,216
017009,Bagnolo Mella,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,ownership,total,all items,all items,TOTAL,TOTAL,4151
017009,Bagnolo Mella,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,rent,total,all items,all items,TOTAL,TOTAL,703
017009,Bagnolo Mella,2021,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,5145
017009,Bagnolo Mella,2023,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,5105
017010,Bagolino,2019,occupate_e_non_occupate,conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,4206
