codice_istat,comune,capoluogo,popolazione_2024,unita_locali_2023,addetti_2023,addetti_per_100_abitanti,presenze_turistiche_2024
017102,Manerba del Garda,0,5412,750,2038.5,37.7,812650
017103,Manerbio,0,13501,1153,5724.5,42.4,5211
017104,Marcheno,0,4183,318,1653.9,39.5,3147
017105,Marmentino,0,657,20,45.2,6.9,183
017106,Marone,0,3097,236,791.6,25.6,54790
017107,Mazzano,0,12707,1080,4249.6,33.4,17664
017108,Milzano,0,1712,132,448.2,26.2,
017109,Moniga del Garda,0,2650,312,800.6,30.2,610746
017110,Monno,0,521,43,79.0,15.2,5667
017111,Monte Isola,0,1587,137,303.4,19.1,24479
017112,Monticelli Brusati,0,4599,429,1543.0,33.6,6151
017113,Montichiari,0,26271,2255,10879.9,41.4,54745
017114,Montirone,0,5114,459,1824.2,35.7,
017115,Mura,0,768,44,263.8,34.3,
017116,Muscoline,0,2698,249,964.7,35.8,5162
017117,Nave,0,10567,777,2757.7,26.1,
017118,Niardo,0,1948,151,511.6,26.3,280
017119,Nuvolento,0,3947,377,1227.9,31.1,855
017120,Nuvolera,0,4750,355,969.4,20.4,
017121,Odolo,0,1907,167,1708.5,89.6,
017122,Offlaga,0,4124,242,721.3,17.5,
017123,Ome,0,3128,247,980.4,31.3,22727
017124,Ono San Pietro,0,961,58,121.6,12.7,2300
017125,Orzinuovi,0,12449,1157,6014.9,48.3,
017126,Orzivecchi,0,2501,178,470.7,18.8,30500
017127,Ospitaletto,0,14855,1011,4435.3,29.9,
017128,Ossimo,0,1437,86,136.5,9.5,120
017129,Padenghe sul Garda,0,4896,536,1376.7,28.1,306428
017130,Paderno Franciacorta,0,3677,303,1154.9,31.4,6821
017131,Paisco Loveno,0,166,3,4.0,2.4,746
017132,Paitone,0,2209,204,985.1,44.6,
017133,Palazzolo sull'Oglio,0,20403,1886,7391.3,36.2,13337
017134,Paratico,0,5019,515,2054.4,40.9,34126
017135,Paspardo,0,579,22,35.1,6.1,47
017136,Passirano,0,6833,689,3255.9,47.6,7319
017137,Pavone del Mella,0,2732,200,1256.4,46.0,
017138,San Paolo,0,4444,313,1038.2,23.4,
017139,Pertica Alta,0,558,27,36.4,6.5,967
017140,Pertica Bassa,0,553,23,32.0,5.8,617
017141,Pezzaze,0,1419,79,178.1,12.6,430
017142,Pian Camuno,0,4789,462,2401.0,50.1,1352
017143,Pisogne,0,7872,740,3045.8,38.7,54905
017144,Polaveno,0,2505,172,826.3,33.0,
017145,Polpenazze del Garda,0,2722,251,1173.8,43.1,25091
017146,Pompiano,0,3745,185,677.3,18.1,
017147,Poncarale,0,5200,445,1384.4,26.6,
017148,Ponte di Legno,0,1733,310,1137.2,65.6,377338
017149,Pontevico,0,7031,496,2580.6,36.7,18180
017150,Pontoglio,0,6967,487,1740.6,25.0,
017151,Pozzolengo,0,3598,299,1052.1,29.2,94935
017152,Pralboino,0,2827,208,961.4,34.0,
017153,Preseglie,0,1465,142,502.8,34.3,
017155,Prevalle,0,6941,531,2437.5,35.1,132
017156,Provaglio d'Iseo,0,7090,641,3005.5,42.4,9192
017157,Provaglio Val Sabbia,0,855,38,56.8,6.6,832
017158,Puegnago del Garda,0,3469,388,1180.3,34.0,39399
017159,Quinzano d'Oglio,0,6305,507,1724.0,27.3,
017160,Remedello,0,3437,216,1254.7,36.5,
017161,Rezzato,0,13540,1269,6023.8,44.5,36846
017162,Roccafranca,0,4933,328,985.5,20.0,
017163,Rodengo Saiano,0,9897,1032,5450.5,55.1,19221
017164,Roè Volciano,0,4318,435,1694.9,39.3,19449
