territorio,anno,indicatore,tipo_reato,codice_reato,valore
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",total,TOT,5149.10
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",theft of cargo trucks carrying freights,TRUCKTHEF,4.70
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",unintentional homicides,UNINTHOM,9.60
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",usury,USURY,0.50
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",theft from vehicle,VEHITHEF,553.30
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",arson,ARSON,14.70
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",theft of art objets,ARTTHEF,1.70
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",attacks,ATTACK,0.70
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",attempted homicides,ATTEMPHOM,3.90
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",bag-snatching,BAGTHEF,16.20
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",bank robbery,BANKROB,8.90
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",blows,BLOWS,35.50
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",burglary,BURGTHEF,359.60
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",car theft,CARTHEF,266.90
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",corruption of a minor,CORRUPUN18,0.10
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",counterfeiting of goods and industrial products,COUNTER,1.60
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",criminal association,CRIMASS,1.40
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",culpable injuries,CULPINJU,117.80
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",cybercrime,CYBERCRIM,9.40
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",damages,DAMAGE,870.50
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",damage followed by arson,DAMARS,8.10
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",trafficking and drugs possession,DRUG,57.20
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",extortions,EXTORT,10.30
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",forest arson,FOREARS,6.30
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",house robbery,HOUSEROB,4.80
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",infanticides,INFANTHOM,0.00
ITC47,2007,"crimes reported by the police forces to the judicial authority (per 100,000 population)",intentional homicides,INTENHOM,0.80
