codice_istat,comune,anno,semestre,fascia,zona,link_zona,tipologia,stato,stato_prevalente,vendita_min,vendita_max,base_vendita,affitto_min,affitto_max,base_affitto
017001,Acquafredda,2007,2,B,B1,BS00000099,Box,NORMALE,P,520,650,lorda,2.6,3.2,netta
017001,Acquafredda,2007,2,B,B1,BS00000099,Capannoni industriali,NORMALE,P,285,355,lorda,1.6,2.2,netta
017001,Acquafredda,2007,2,B,B1,BS00000099,Capannoni tipici,NORMALE,P,335,420,lorda,2.3,3.0,netta
017001,Acquafredda,2007,2,B,B1,BS00000099,Laboratori,NORMALE,P,380,450,lorda,2.6,3.2,netta
017001,Acquafredda,2007,2,B,B1,BS00000099,Magazzini,NORMALE,P,315,410,lorda,2.1,2.8,netta
017001,Acquafredda,2007,2,B,B1,BS00000099,Negozi,NORMALE,P,1000,1230,lorda,5.8,7.2,netta
017001,Acquafredda,2007,2,B,B1,BS00000099,Posti auto coperti,NORMALE,P,370,460,lorda,1.7,2.1,netta
017001,Acquafredda,2007,2,B,B1,BS00000099,Posti auto scoperti,NORMALE,P,265,335,lorda,1.2,1.5,netta
017001,Acquafredda,2007,2,B,B1,BS00000099,Uffici,NORMALE,P,790,1090,lorda,3.3,4.9,netta
017001,Acquafredda,2007,2,B,B1,BS00000099,Ville e Villini,NORMALE,P,840,1050,lorda,3.6,4.4,netta
017001,Acquafredda,2008,2,B,B1,BS00000099,Abitazioni civili,NORMALE,P,740,1040,lorda,3.2,4.4,netta
017001,Acquafredda,2008,2,B,B1,BS00000099,Autorimesse,NORMALE,P,470,590,lorda,2.3,2.9,netta
017001,Acquafredda,2008,2,B,B1,BS00000099,Box,NORMALE,P,520,650,lorda,2.6,3.2,netta
017001,Acquafredda,2008,2,B,B1,BS00000099,Capannoni industriali,NORMALE,P,285,355,lorda,1.6,2.2,netta
017001,Acquafredda,2008,2,B,B1,BS00000099,Capannoni tipici,NORMALE,P,335,420,lorda,2.3,3.0,netta
017001,Acquafredda,2008,2,B,B1,BS00000099,Laboratori,NORMALE,P,380,450,lorda,2.6,3.2,netta
017001,Acquafredda,2008,2,B,B1,BS00000099,Magazzini,NORMALE,P,315,410,lorda,2.1,2.8,netta
017001,Acquafredda,2008,2,B,B1,BS00000099,Negozi,NORMALE,P,1000,1230,lorda,5.8,7.2,netta
017001,Acquafredda,2008,2,B,B1,BS00000099,Posti auto coperti,NORMALE,P,370,460,lorda,1.7,2.1,netta
017001,Acquafredda,2008,2,B,B1,BS00000099,Posti auto scoperti,NORMALE,P,265,335,lorda,1.2,1.5,netta
017001,Acquafredda,2008,2,B,B1,BS00000099,Uffici,NORMALE,P,810,1110,lorda,3.4,5.0,netta
017001,Acquafredda,2008,2,B,B1,BS00000099,Ville e Villini,NORMALE,P,860,1070,lorda,3.7,4.5,netta
