codice_istat,comune,anno,semestre,tipologia,mercato,base_superficie,zone,minimo,massimo,media
017001,Acquafredda,2007,2,Box,vendita,lorda,1,520,650,585
017001,Acquafredda,2007,2,Capannoni industriali,affitto,netta,1,1.6,2.2,1.9
017001,Acquafredda,2007,2,Capannoni industriali,vendita,lorda,1,285,355,320
017001,Acquafredda,2007,2,Capannoni tipici,affitto,netta,1,2.3,3.0,2.6
017001,Acquafredda,2007,2,Capannoni tipici,vendita,lorda,1,335,420,378
017001,Acquafredda,2007,2,Laboratori,affitto,netta,1,2.6,3.2,2.9
017001,Acquafredda,2007,2,Laboratori,vendita,lorda,1,380,450,415
017001,Acquafredda,2007,2,Magazzini,affitto,netta,1,2.1,2.8,2.5
017001,Acquafredda,2007,2,Magazzini,vendita,lorda,1,315,410,362
017001,Acquafredda,2007,2,Negozi,affitto,netta,1,5.8,7.2,6.5
017001,Acquafredda,2007,2,Negozi,vendita,lorda,1,1000,1230,1115
017001,Acquafredda,2007,2,Posti auto coperti,affitto,netta,1,1.7,2.1,1.9
017001,Acquafredda,2007,2,Posti auto coperti,vendita,lorda,1,370,460,415
017001,Acquafredda,2007,2,Posti auto scoperti,affitto,netta,1,1.2,1.5,1.4
017001,Acquafredda,2007,2,Posti auto scoperti,vendita,lorda,1,265,335,300
017001,Acquafredda,2007,2,Uffici,affitto,netta,1,3.3,4.9,4.1
017001,Acquafredda,2007,2,Uffici,vendita,lorda,1,790,1090,940
017001,Acquafredda,2007,2,Ville e Villini,affitto,netta,1,3.6,4.4,4.0
017001,Acquafredda,2007,2,Ville e Villini,vendita,lorda,1,840,1050,945
017001,Acquafredda,2008,2,Abitazioni civili,affitto,netta,1,3.2,4.4,3.8
017001,Acquafredda,2008,2,Abitazioni civili,vendita,lorda,1,740,1040,890
017001,Acquafredda,2008,2,Autorimesse,affitto,netta,1,2.3,2.9,2.6
017001,Acquafredda,2008,2,Autorimesse,vendita,lorda,1,470,590,530
017001,Acquafredda,2008,2,Box,affitto,netta,1,2.6,3.2,2.9
017001,Acquafredda,2008,2,Box,vendita,lorda,1,520,650,585
017001,Acquafredda,2008,2,Capannoni industriali,affitto,netta,1,1.6,2.2,1.9
017001,Acquafredda,2008,2,Capannoni industriali,vendita,lorda,1,285,355,320
017001,Acquafredda,2008,2,Capannoni tipici,affitto,netta,1,2.3,3.0,2.6
017001,Acquafredda,2008,2,Capannoni tipici,vendita,lorda,1,335,420,378
017001,Acquafredda,2008,2,Laboratori,affitto,netta,1,2.6,3.2,2.9
017001,Acquafredda,2008,2,Laboratori,vendita,lorda,1,380,450,415
017001,Acquafredda,2008,2,Magazzini,affitto,netta,1,2.1,2.8,2.5
017001,Acquafredda,2008,2,Magazzini,vendita,lorda,1,315,410,362
017001,Acquafredda,2008,2,Negozi,affitto,netta,1,5.8,7.2,6.5
017001,Acquafredda,2008,2,Negozi,vendita,lorda,1,1000,1230,1115
017001,Acquafredda,2008,2,Posti auto coperti,affitto,netta,1,1.7,2.1,1.9
017001,Acquafredda,2008,2,Posti auto coperti,vendita,lorda,1,370,460,415
017001,Acquafredda,2008,2,Posti auto scoperti,affitto,netta,1,1.2,1.5,1.4
017001,Acquafredda,2008,2,Posti auto scoperti,vendita,lorda,1,265,335,300
017001,Acquafredda,2008,2,Uffici,affitto,netta,1,3.4,5.0,4.2
017001,Acquafredda,2008,2,Uffici,vendita,lorda,1,810,1110,960
017001,Acquafredda,2008,2,Ville e Villini,affitto,netta,1,3.7,4.5,4.1
017001,Acquafredda,2008,2,Ville e Villini,vendita,lorda,1,860,1070,965
017001,Acquafredda,2009,2,Abitazioni civili,affitto,netta,1,3.0,3.9,3.5
017001,Acquafredda,2009,2,Abitazioni civili,vendita,lorda,1,800,1050,925
017001,Acquafredda,2009,2,Autorimesse,affitto,netta,1,2.0,2.6,2.3
017001,Acquafredda,2009,2,Autorimesse,vendita,lorda,1,470,590,530
017001,Acquafredda,2009,2,Box,affitto,netta,1,2.1,2.7,2.4
017001,Acquafredda,2009,2,Box,vendita,lorda,1,520,650,585
017001,Acquafredda,2009,2,Capannoni industriali,affitto,netta,1,1.6,2.2,1.9
017001,Acquafredda,2009,2,Capannoni industriali,vendita,lorda,1,330,410,370
017001,Acquafredda,2009,2,Capannoni tipici,affitto,netta,1,2.3,3.0,2.6
017001,Acquafredda,2009,2,Capannoni tipici,vendita,lorda,1,385,485,435
017001,Acquafredda,2009,2,Laboratori,affitto,netta,1,2.6,3.2,2.9
017001,Acquafredda,2009,2,Laboratori,vendita,lorda,1,435,520,478
017001,Acquafredda,2009,2,Magazzini,affitto,netta,1,2.1,2.8,2.5
017001,Acquafredda,2009,2,Magazzini,vendita,lorda,1,345,450,398
017001,Acquafredda,2009,2,Negozi,affitto,netta,1,5.8,7.2,6.5
017001,Acquafredda,2009,2,Negozi,vendita,lorda,1,1000,1250,1125
017001,Acquafredda,2009,2,Posti auto coperti,affitto,netta,1,1.5,1.8,1.6
017001,Acquafredda,2009,2,Posti auto coperti,vendita,lorda,1,370,460,415
017001,Acquafredda,2009,2,Posti auto scoperti,affitto,netta,1,1.1,1.3,1.2
017001,Acquafredda,2009,2,Posti auto scoperti,vendita,lorda,1,265,335,300
017001,Acquafredda,2009,2,Uffici,affitto,netta,1,3.4,5.0,4.2
017001,Acquafredda,2009,2,Uffici,vendita,lorda,1,810,1100,955
017001,Acquafredda,2009,2,Ville e Villini,affitto,netta,1,3.3,4.1,3.7
