codice_istat,comune,anno,tavola,indicatore,num_memb,num_fr_menb,valore
017001,Acquafredda,2022,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,3,3
017001,Acquafredda,2022,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,4 e più,23
017001,Acquafredda,2022,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,totale,35
017001,Acquafredda,2022,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,1,32
017001,Acquafredda,2022,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,2,12
017001,Acquafredda,2022,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,3,10
017001,Acquafredda,2022,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,4 e più,23
017001,Acquafredda,2022,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,totale,77
017001,Acquafredda,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,1,1,16
017001,Acquafredda,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,1,totale,16
017001,Acquafredda,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,2,1,1
017001,Acquafredda,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,2,2,9
017001,Acquafredda,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,2,totale,10
017001,Acquafredda,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,1,6
017001,Acquafredda,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,3,8
017001,Acquafredda,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,totale,14
017001,Acquafredda,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,1,8
017001,Acquafredda,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,2,5
017001,Acquafredda,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,3,3
017001,Acquafredda,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,4 e più,23
017001,Acquafredda,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,totale,39
017001,Acquafredda,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,1,31
017001,Acquafredda,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,2,14
017001,Acquafredda,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,3,11
017001,Acquafredda,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,4 e più,23
017001,Acquafredda,2023,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,totale,79
017001,Acquafredda,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,1,1,17
017001,Acquafredda,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,1,totale,17
017001,Acquafredda,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,2,1,2
017001,Acquafredda,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,2,2,8
017001,Acquafredda,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,2,totale,10
017001,Acquafredda,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,1,4
017001,Acquafredda,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,3,9
017001,Acquafredda,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,totale,13
017001,Acquafredda,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,1,8
017001,Acquafredda,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,2,4
017001,Acquafredda,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,3,5
017001,Acquafredda,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,4 e più,18
017001,Acquafredda,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,totale,35
017001,Acquafredda,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,1,31
017001,Acquafredda,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,2,12
017001,Acquafredda,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,3,14
017001,Acquafredda,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,4 e più,18
017001,Acquafredda,2024,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,totale,75
017001,Acquafredda,2020,tutte,famiglie al 31 dicembre,1,totale,155
017001,Acquafredda,2020,tutte,famiglie al 31 dicembre,2,totale,188
017001,Acquafredda,2020,tutte,famiglie al 31 dicembre,3,totale,145
017001,Acquafredda,2020,tutte,famiglie al 31 dicembre,4,totale,100
017001,Acquafredda,2020,tutte,famiglie al 31 dicembre,5,totale,22
017001,Acquafredda,2020,tutte,famiglie al 31 dicembre,6 e più,totale,5
017001,Acquafredda,2020,tutte,famiglie al 31 dicembre,totale,totale,615
017001,Acquafredda,2021,tutte,famiglie al 31 dicembre,1,totale,158
017001,Acquafredda,2021,tutte,famiglie al 31 dicembre,2,totale,198
017001,Acquafredda,2021,tutte,famiglie al 31 dicembre,3,totale,135
017001,Acquafredda,2021,tutte,famiglie al 31 dicembre,4,totale,102
017001,Acquafredda,2021,tutte,famiglie al 31 dicembre,5,totale,21
017001,Acquafredda,2021,tutte,famiglie al 31 dicembre,6 e più,totale,6
