codice_istat,comune,anno,indicatore,valore
017005,Anfo,2021,popolazione_residente,450
017005,Anfo,2022,popolazione_residente,447
017005,Anfo,2023,popolazione_residente,438
017005,Anfo,2024,popolazione_residente,436
017006,Angolo Terme,2018,famiglie,1066
017006,Angolo Terme,2019,famiglie,1060
017006,Angolo Terme,2020,famiglie,1070
017006,Angolo Terme,2021,famiglie,1055
017006,Angolo Terme,2022,famiglie,1062
017006,Angolo Terme,2023,famiglie,1066
017006,Angolo Terme,2024,famiglie,1089
017006,Angolo Terme,2018,popolazione_in_convivenza,2
017006,Angolo Terme,2019,popolazione_in_convivenza,2
017006,Angolo Terme,2018,popolazione_in_famiglia,2351
017006,Angolo Terme,2019,popolazione_in_famiglia,2341
017006,Angolo Terme,2020,popolazione_in_famiglia,2338
017006,Angolo Terme,2021,popolazione_in_famiglia,2309
017006,Angolo Terme,2022,popolazione_in_famiglia,2306
017006,Angolo Terme,2023,popolazione_in_famiglia,2295
017006,Angolo Terme,2024,popolazione_in_famiglia,2338
017006,Angolo Terme,2018,popolazione_residente,2353
017006,Angolo Terme,2019,popolazione_residente,2343
017006,Angolo Terme,2020,popolazione_residente,2338
017006,Angolo Terme,2021,popolazione_residente,2309
017006,Angolo Terme,2022,popolazione_residente,2306
017006,Angolo Terme,2023,popolazione_residente,2295
017006,Angolo Terme,2024,popolazione_residente,2338
017007,Artogne,2018,famiglie,1483
017007,Artogne,2019,famiglie,1503
017007,Artogne,2020,famiglie,1548
017007,Artogne,2021,famiglie,1547
017007,Artogne,2022,famiglie,1570
017007,Artogne,2023,famiglie,1589
017007,Artogne,2024,famiglie,1627
017007,Artogne,2018,popolazione_in_convivenza,11
017007,Artogne,2019,popolazione_in_convivenza,14
017007,Artogne,2020,popolazione_in_convivenza,29
017007,Artogne,2021,popolazione_in_convivenza,31
017007,Artogne,2022,popolazione_in_convivenza,30
017007,Artogne,2023,popolazione_in_convivenza,30
017007,Artogne,2024,popolazione_in_convivenza,29
017007,Artogne,2018,popolazione_in_famiglia,3526
017007,Artogne,2019,popolazione_in_famiglia,3539
017007,Artogne,2020,popolazione_in_famiglia,3564
017007,Artogne,2021,popolazione_in_famiglia,3536
017007,Artogne,2022,popolazione_in_famiglia,3552
017007,Artogne,2023,popolazione_in_famiglia,3591
017007,Artogne,2024,popolazione_in_famiglia,3642
017007,Artogne,2018,popolazione_residente,3537
017007,Artogne,2019,popolazione_residente,3553
017007,Artogne,2020,popolazione_residente,3593
017007,Artogne,2021,popolazione_residente,3567
017007,Artogne,2022,popolazione_residente,3582
017007,Artogne,2023,popolazione_residente,3621
017007,Artogne,2024,popolazione_residente,3671
017008,Azzano Mella,2018,famiglie,1280
017008,Azzano Mella,2019,famiglie,1306
017008,Azzano Mella,2020,famiglie,1316
017008,Azzano Mella,2021,famiglie,1346
017008,Azzano Mella,2022,famiglie,1368
017008,Azzano Mella,2023,famiglie,1395
017008,Azzano Mella,2024,famiglie,1417
017008,Azzano Mella,2018,popolazione_in_convivenza,99
017008,Azzano Mella,2019,popolazione_in_convivenza,71
017008,Azzano Mella,2020,popolazione_in_convivenza,62
017008,Azzano Mella,2021,popolazione_in_convivenza,46
017008,Azzano Mella,2022,popolazione_in_convivenza,45
017008,Azzano Mella,2023,popolazione_in_convivenza,75
017008,Azzano Mella,2024,popolazione_in_convivenza,67
017008,Azzano Mella,2018,popolazione_in_famiglia,3261
017008,Azzano Mella,2019,popolazione_in_famiglia,3299
017008,Azzano Mella,2020,popolazione_in_famiglia,3294
017008,Azzano Mella,2021,popolazione_in_famiglia,3352
017008,Azzano Mella,2022,popolazione_in_famiglia,3373
017008,Azzano Mella,2023,popolazione_in_famiglia,3423
017008,Azzano Mella,2024,popolazione_in_famiglia,3440
017008,Azzano Mella,2018,popolazione_residente,3360
017008,Azzano Mella,2019,popolazione_residente,3370
017008,Azzano Mella,2020,popolazione_residente,3356
017008,Azzano Mella,2021,popolazione_residente,3398
017008,Azzano Mella,2022,popolazione_residente,3418
017008,Azzano Mella,2023,popolazione_residente,3498
017008,Azzano Mella,2024,popolazione_residente,3507
017009,Bagnolo Mella,2018,famiglie,5139
017009,Bagnolo Mella,2019,famiglie,5138
017009,Bagnolo Mella,2020,famiglie,5235
017009,Bagnolo Mella,2021,famiglie,5231
017009,Bagnolo Mella,2022,famiglie,5184
017009,Bagnolo Mella,2023,famiglie,5172
017009,Bagnolo Mella,2024,famiglie,5163
017009,Bagnolo Mella,2018,popolazione_in_convivenza,62
017009,Bagnolo Mella,2019,popolazione_in_convivenza,59
017009,Bagnolo Mella,2020,popolazione_in_convivenza,48
017009,Bagnolo Mella,2021,popolazione_in_convivenza,48
017009,Bagnolo Mella,2022,popolazione_in_convivenza,61
017009,Bagnolo Mella,2023,popolazione_in_convivenza,63
017009,Bagnolo Mella,2024,popolazione_in_convivenza,60
017009,Bagnolo Mella,2018,popolazione_in_famiglia,12406
017009,Bagnolo Mella,2019,popolazione_in_famiglia,12397
017009,Bagnolo Mella,2020,popolazione_in_famiglia,12506
017009,Bagnolo Mella,2021,popolazione_in_famiglia,12446
017009,Bagnolo Mella,2022,popolazione_in_famiglia,12426
017009,Bagnolo Mella,2023,popolazione_in_famiglia,12374
017009,Bagnolo Mella,2024,popolazione_in_famiglia,12411
017009,Bagnolo Mella,2018,popolazione_residente,12468
017009,Bagnolo Mella,2019,popolazione_residente,12456
017009,Bagnolo Mella,2020,popolazione_residente,12554
017009,Bagnolo Mella,2021,popolazione_residente,12494
017009,Bagnolo Mella,2022,popolazione_residente,12487
017009,Bagnolo Mella,2023,popolazione_residente,12437
017009,Bagnolo Mella,2024,popolazione_residente,12471
017010,Bagolino,2018,famiglie,1740
017010,Bagolino,2019,famiglie,1749
017010,Bagolino,2020,famiglie,1736
017010,Bagolino,2021,famiglie,1734
017010,Bagolino,2022,famiglie,1744
017010,Bagolino,2023,famiglie,1743
017010,Bagolino,2024,famiglie,1753
017010,Bagolino,2018,popolazione_in_convivenza,92
017010,Bagolino,2019,popolazione_in_convivenza,81
017010,Bagolino,2020,popolazione_in_convivenza,69
017010,Bagolino,2021,popolazione_in_convivenza,64
017010,Bagolino,2022,popolazione_in_convivenza,49
017010,Bagolino,2023,popolazione_in_convivenza,70
017010,Bagolino,2024,popolazione_in_convivenza,67
017010,Bagolino,2018,popolazione_in_famiglia,3763
017010,Bagolino,2019,popolazione_in_famiglia,3737
017010,Bagolino,2020,popolazione_in_famiglia,3677
017010,Bagolino,2021,popolazione_in_famiglia,3691
017010,Bagolino,2022,popolazione_in_famiglia,3718
017010,Bagolino,2023,popolazione_in_famiglia,3711
017010,Bagolino,2024,popolazione_in_famiglia,3697
017010,Bagolino,2018,popolazione_residente,3855
017010,Bagolino,2019,popolazione_residente,3818
017010,Bagolino,2020,popolazione_residente,3746
017010,Bagolino,2021,popolazione_residente,3755
017010,Bagolino,2022,popolazione_residente,3767
017010,Bagolino,2023,popolazione_residente,3781
017010,Bagolino,2024,popolazione_residente,3764
017011,Barbariga,2018,famiglie,891
017011,Barbariga,2019,famiglie,904
017011,Barbariga,2020,famiglie,917
017011,Barbariga,2021,famiglie,923
017011,Barbariga,2022,famiglie,926
017011,Barbariga,2023,famiglie,932
017011,Barbariga,2024,famiglie,932
017011,Barbariga,2018,popolazione_in_convivenza,18
017011,Barbariga,2019,popolazione_in_convivenza,25
017011,Barbariga,2020,popolazione_in_convivenza,19
017011,Barbariga,2021,popolazione_in_convivenza,12
017011,Barbariga,2022,popolazione_in_convivenza,17
017011,Barbariga,2023,popolazione_in_convivenza,19
017011,Barbariga,2024,popolazione_in_convivenza,23
017011,Barbariga,2018,popolazione_in_famiglia,2269
017011,Barbariga,2019,popolazione_in_famiglia,2288
017011,Barbariga,2020,popolazione_in_famiglia,2281
017011,Barbariga,2021,popolazione_in_famiglia,2305
017011,Barbariga,2022,popolazione_in_famiglia,2313
017011,Barbariga,2023,popolazione_in_famiglia,2304
