codice_istat,comune,sigla_provincia,capoluogo,codice_catastale
017191,Treviso Bresciano,BS,0,L406
017192,Urago d'Oglio,BS,0,L494
017193,Vallio Terme,BS,0,L626
017194,Valvestino,BS,0,L468
017195,Verolanuova,BS,0,L777
017196,Verolavecchia,BS,0,L778
017197,Vestone,BS,0,L812
017198,Vezza d'Oglio,BS,0,L816
017199,Villa Carcina,BS,0,L919
017200,Villachiara,BS,0,L923
017201,Villanuova sul Clisi,BS,0,L995
017202,Vione,BS,0,M065
017203,Visano,BS,0,M070
017204,Vobarno,BS,0,M104
017205,Zone,BS,0,M188
017206,Piancogno,BS,0,G549
